id,population,total_rooms
1025,0.47090776109122434,0.8892206007330178
1566,0.4392291722489461,0.9335532254417376
1912,0.4680478980662143,0.8897379632624765
1913,0.4524440031927317,0.9118209199406831
1978,0.45672472772752026,0.9049859828061074
3254,0.43750461923835704,0.935871215999303
3256,0.44127273765021346,0.9302025135916562
5338,0.43699230815249335,0.9362660944418778
5534,0.4378051750684512,0.9355543719589728
6052,0.536330310055759,0.4977140555597244
9667,0.5011231089769184,0.8422878520699971
9674,0.525157032166599,0.813355640094853
10296,0.46202734012607827,0.367526260423231
11702,0.47952518842176983,0.8768089842977812
11818,0.5554830900039422,0.7746906137751276
11834,0.4480747063589883,0.9189436246857612
12136,0.7874793272550689,0.5522952802716415
12185,0.7254703666327484,0.4639285853985319
12309,0.6295927986314069,0.747231831787569
12355,0.6850836345753832,0.6681706739866022
12358,0.8512527788479689,0.5426817097320465
12360,0.7250356320253726,0.6299622823804325
12431,0.4658245426297465,0.8920677220787784
13121,0.4444336270161564,0.3340803893023408
13938,0.5957414050569099,0.740505938199968
13959,0.4373569845915374,0.935933873477227
19761,0.4380953943097903,0.9351176320868384
20048,0.5158709050322923,0.8253171925908485
