id,Solids,Chloramines,Sulfate
98,0.17384507157467008,0.26595891571827507,0.31797437122025474
156,0.12229735194979244,0.536458868289599,0.36733415748020043
163,0.06540461200072022,0.25549045144439203,0.37034651561977194
173,0.1356068135770375,0.30201832333326745,0.3006917198021563
191,0.6374133779801064,0.716218754419982,0.16524332649393425
208,0.3637410450780142,0.9571840697743923,0.17905711634335686
211,0.5750430125419598,0.9934877579460681,0.1454610485876759
264,0.5206754255785118,1.0,0.15168387017633897
276,0.45732049423032617,0.8217641082988036,0.1659631971609728
290,0.32545299612272843,0.7737124050544049,0.22859106215334687
336,0.19544268985006957,0.2058222282848294,0.7331711761351848
363,0.17002467376791044,0.24215378246620306,0.7634419100982166
513,0.15444750875105998,0.4377060335776633,0.26769208360395363
590,0.34621521600784705,0.31811944668465175,0.2884858407274043
591,0.15536050222279085,0.4734365523085399,0.23535335378612857
763,0.05877838613967603,0.5155952661569718,0.44815729781776276
847,0.7267869483220714,0.18706161387903497,0.25608263569090794
1045,0.5180149306213687,0.5438201111478069,0.21147170679945423
1155,0.5768663321348627,0.35455003117135014,0.21943325427674565
1181,0.9221997195570384,0.2253963523584211,0.0
1274,0.10913153548598412,0.7606602382146486,0.33703243119222415
1371,0.12043871077143091,0.7427748378716006,0.2427653263782088
1421,0.4354647720731718,0.35151924236889454,0.2241011798214475
1688,0.4841423113195606,0.6628693408009265,0.21854657348522483
1759,0.2636381006704548,0.0,0.310900674969389
2126,0.34576123372848516,0.3957488580904921,0.2802757016784574
2139,0.24411918943658026,0.20853484169637512,0.439926746041488
2220,0.0,0.33242034068878606,0.5882953248146076
2458,0.05450658222123356,0.29124276030643736,0.7462344275733716
