id,x1,x2
13,0.357619898877776,0.4306246169279446
135,0.3790685914936578,0.3845949088885776
314,0.3599910311386366,0.4290922879944887
352,0.4664525508153675,0.2996963276496232
467,0.4252137465038493,0.3476692419435322
706,0.8402601484758043,0.0971752005444944
808,0.0,0.9240988086137588
980,0.4737440678659974,0.2985830389203521
1029,0.7542102371317956,0.1356857586712054
1117,0.4316266811939189,0.3127010099689656
1134,0.5018189300436539,0.2715190583131964
1159,0.3429183404798442,0.460974871123026
1252,0.8914284283892682,0.0942632182668523
1674,0.4969409515170321,0.273446903918815
2174,0.3209093590101655,0.4765024199517381
2559,0.2230245457634709,0.4884838042480466
2682,0.261276302787556,0.4806200506635173
2705,1.0,0.0
2780,0.2133164929831301,0.541146369071371
2987,0.53672825801679,0.2280470498038373
3270,0.4627975135414996,0.3068356719024757
3357,0.3547805388741113,0.442331661701337
3622,0.3187178865123789,0.4791813060962447
3744,0.3640270984790938,0.4102253311600799
4049,0.1679476408367382,0.5789572714498593
4067,0.5054081999287311,0.2438288743676294
4363,0.6005314324413815,0.1462176941567712
4598,0.7578532585740984,0.1016691169329922
4790,0.0004066101071743,0.6434460017869129
4813,0.4415833310777144,0.3116860930708176
4902,0.5100677453100373,0.2366494218754057
