id,population,total_rooms
1025,0.005577510580453488,0.9226054224528206
1566,0.0006166092098993806,0.9949641385624904
1912,0.00305501835813784,0.9245892466554758
1913,0.0007567476666946943,0.9603489495905183
1978,0.0009249138148490709,0.9494887837631619
3254,0.00028027691359062756,0.9988300523933059
3256,0.0006446369012584434,0.9895976397578717
5338,0.0,0.9995930617020194
5534,0.00039238767902687857,0.9982705122335825
6052,0.43454132683090896,0.18480085457042572
9667,0.007343255136074442,0.8495091306780609
9674,0.013453291852350122,0.8030927310646523
10296,0.4517783570167325,0.03517472913169539
11702,0.006670590543456935,0.9027926140698916
11818,0.0195633285686258,0.7432219339742612
11834,0.0006726645926175061,0.9716669210031029
12136,0.2622551080467502,0.33058649982196453
12185,0.2639087418369349,0.22559641894297777
12309,0.06866784382970374,0.6806806043033725
12355,0.0706578099161972,0.5696881835291724
12358,0.11695955604136887,0.38656594943791645
12360,0.08063566804002355,0.5140902385675772
12431,0.0022422153087250205,0.928607762348034
13121,0.45690742453544103,0.0
13938,0.03635191569270439,0.6861488376824865
13959,0.00016816614815437652,0.9989826542550486
19761,0.0004204153703859413,0.9975583702121166
20048,0.011575436531292917,0.8218881937026299
