id,query_found
158,"[0.005289935680213102, 0.48222666760252764, 0.5124833967172593]"
434,"[0.3359375, 0.3515625, 0.3125]"
567,"[0.3125, 0.20302426782525076, 0.48447573217474926]"
627,"[0.345703125, 0.41498128986017785, 0.2393155851398221]"
721,"[0.37890625, 0.4318940409754545, 0.18919970902454553]"
913,"[0.2114946674898224, 0.27146646792854434, 0.5170388645816333]"
1184,"[0.27252187112515236, 0.46551597105398845, 0.2619621578208592]"
1227,"[0.0, 0.578565871292862, 0.42143412870713803]"
1230,"[0.09690350873767224, 0.2234678340315501, 0.6796286572307777]"
1565,"[0.3193589178851615, 0.4375602038662157, 0.2430808782486228]"
1629,"[0.3125123608324882, 0.28125, 0.40623763916751177]"
1721,"[0.12256674886969708, 0.29546535304347704, 0.5819678980868259]"
2199,"[0.32111495273628227, 0.3918969629744144, 0.28698808428930334]"
2277,"[0.46915908375716237, 0.12688013416086294, 0.4039607820819747]"
2537,"[0.14715538888451626, 0.3442604618689085, 0.5085841492465752]"
2558,"[0.24662541049322328, 0.40625, 0.3471245895067767]"
2965,"[0.38589059050633323, 0.3675971413345351, 0.24651226815913163]"
3076,"[0.26953125, 0.37109375, 0.359375]"
3274,"[0.4609375, 0.29327919190844154, 0.24578330809155846]"
3397,"[0.2595597014453627, 0.4127607378353431, 0.32767956071929416]"
3584,"[0.3700223337247877, 0.33645199306338247, 0.2935256732118299]"
3629,"[0.35112704401892264, 0.3125, 0.3363729559810773]"
3704,"[0.3275961193294714, 0.4421613350001552, 0.2302425456703734]"
3723,"[0.1380565655283255, 0.5501260139725414, 0.3118174204991332]"
3737,"[0.3125, 0.29581717261544216, 0.39168282738455784]"
3749,"[0.4172684259062983, 0.41831767404085446, 0.16441390005284728]"
3755,"[0.37132619801082023, 0.34978923487605423, 0.2788845671131255]"
3941,"[0.31401252782942923, 0.421875, 0.26411247217057077]"
3983,"[0.0, 0.5204883124471831, 0.4795116875528169]"
4013,"[0.2175176365378613, 0.44140625, 0.34107611346213873]"
4167,"[0.0546875, 0.44745405316393916, 0.49785844683606084]"
4522,"[0.38671875, 0.2791525534417882, 0.33412869655821176]"
5017,"[0.5122154194632597, 0.4877845805367403, 0.0]"
5162,"[0.4665452221718921, 0.5334547778281079, 0.0]"
5341,"[0.12054934219828307, 0.5205662741606173, 0.35888438364109965]"
5817,"[0.375, 0.5021358942230333, 0.12286410577696671]"
6005,"[0.21121604913279776, 0.486293632209521, 0.3024903186576813]"
6126,"[0.19198517172077276, 0.78125, 0.026764828279227215]"
6229,"[0.09782696847523546, 0.0, 0.9021730315247646]"
6348,"[0.03125, 0.6126538623527812, 0.3560961376472188]"
6455,"[0.39040528944922137, 0.609594710550779, -4.440892098500626e-16]"
6901,"[0.4408224713632519, 0.234375, 0.3248025286367481]"
6980,"[0.18973509466400348, 0.40578529110018624, 0.40447961423581025]"
7137,"[0.33202020470002414, 0.4280499662198447, 0.23992982908013116]"
7249,"[0.1259838001736568, 0.44360342720837526, 0.43041277261796795]"
7336,"[0.25, 0.27005494437250405, 0.479945055627496]"
7529,"[0.32797122128167167, 0.5625, 0.10952877871832833]"
7625,"[0.002181056613106255, 0.4223664071514023, 0.5754525362354914]"
7656,"[0.1963548663731244, 0.31640625, 0.4872388836268756]"
7688,"[0.1451364868030315, 0.5, 0.3548635131969685]"
8042,"[0.16473718145265395, 0.38642153363829035, 0.4488412849090557]"
8064,"[0.3223578451744683, 0.3877083750604612, 0.2899337797650705]"
8253,"[0.25, 0.15337502057003755, 0.5966249794299625]"
8347,"[0.41500235429247145, 0.12973688588043525, 0.45526075982709324]"
8479,"[0.29715722433686864, 0.37265996012304414, 0.3301828155400872]"
8539,"[0.36554839797087446, 0.36824570632673126, 0.2662058957023943]"
8616,"[0.23806018450600214, 0.38852618894546115, 0.3734136265485367]"
8940,"[0.48316564579923443, 0.5168343542007656, 0.0]"
9042,"[0.37109375, 0.3350366843044538, 0.2938695656955461]"
9284,"[0.5, 0.25, 0.25]"
9384,"[0.375, 0.5626791740945718, 0.0623208259054282]"
9438,"[0.1504115256468365, 0.45373784986889026, 0.3958506244842732]"
9522,"[0.295882823481627, 0.4453125, 0.258804676518373]"
9624,"[0.22469975207343684, 0.37882273342264017, 0.396477514503923]"
9638,"[0.2336519092058073, 0.4701005222807696, 0.29624756851342315]"
9994,"[0.0, 0.4238938839722021, 0.5761061160277978]"
10013,"[0.35321099588872307, 0.4375, 0.20928900411127693]"
10628,"[0.3335176744892866, 0.0, 0.6664823255107134]"
10682,"[0.5, 0.3625966711882005, 0.1374033288117995]"
10753,"[0.0625, 0.37197706014518556, 0.5655229398548145]"
11194,"[0.5, 0.1875, 0.3125]"
11227,"[0.35431818800011927, 0.6456818119998807, 0.0]"
11287,"[0.1875, 0.40625, 0.40625]"
11293,"[0.29114112910940226, 0.28125, 0.42760887089059774]"
11519,"[0.03125, 0.3973312942820225, 0.5714187057179775]"
11619,"[0.5349825577232471, 0.29409166621224225, 0.17092577606451065]"
12264,"[0.125, 0.6875, 0.1875]"
12328,"[0.1725739315986422, 0.30540325441328836, 0.5220228139880694]"
13172,"[0.20658620663536154, 0.3317168412879836, 0.46169695207665484]"
13370,"[0.3562167941804442, 0.4508207691419328, 0.19296243667762303]"
13458,"[0.2109375, 0.40625, 0.3828125]"
13630,"[0.0625, 0.625, 0.3125]"
13724,"[0.4743049252272906, 0.0, 0.5256950747727094]"
13846,"[0.322265625, 0.43506761440148123, 0.24266676059851877]"
14023,"[0.1535731864025096, 0.40625, 0.4401768135974904]"
14355,"[0.3048027527212802, 0.3985208346155272, 0.29667641266319267]"
14494,"[0.28980982953496215, 0.48637611366496564, 0.22381405680007216]"
14932,"[0.38707756380063985, 0.26953125, 0.34339118619936015]"
15229,"[0.34850403567595284, 0.39302708493550886, 0.25846887938853835]"
15346,"[0.3359375, 0.3049876466151271, 0.3590748533848729]"
15508,"[0.36080535319224866, 0.4375, 0.2016946468077514]"
15779,"[0.0, 0.5, 0.5]"
15794,"[0.15122109633135544, 0.47702808595358676, 0.3717508177150578]"
16104,"[0.3439476449906374, 0.40625, 0.24980235500936265]"
16194,"[0.1875, 0.25, 0.5625]"
16196,"[0.2957095374820477, 0.40024718341941584, 0.30404327909853646]"
16632,"[0.5394506456788624, 0.00396929648386984, 0.45658005783726785]"
16737,"[0.2932864167188201, 0.39453125, 0.31218233328117995]"
16820,"[0.0, 0.3333501889341046, 0.6666498110658954]"
17063,"[0.10919797085977687, 0.25, 0.6408020291402231]"
17173,"[0.22354584863263385, 0.4748651198699526, 0.30158903149741356]"
17267,"[0.4375, 0.02002487585972684, 0.5424751241402732]"
17343,"[0.3359375, 0.4018205556561623, 0.26224194434383774]"
17411,"[0.125, 0.08037954334644012, 0.7946204566535598]"
17588,"[0.17216130582836112, 0.6875, 0.1403386941716389]"
17746,"[0.37890625, 0.39288231709160454, 0.22821143290839552]"
17752,"[0.4975194211998872, 0.5024805788001128, 0.0]"
17881,"[0.2421875, 0.3671875, 0.390625]"
18044,"[0.3933603181869398, 0.46745202681531123, 0.139187654997749]"
18087,"[0.18182937914292277, 0.40855975555368756, 0.40961086530338964]"
18449,"[0.2742176991919493, 0.4765625, 0.24921980080805062]"
18450,"[0.3125, 0.2910909138845692, 0.3964090861154308]"
