id,x1,x2
308,0.1380712615875062,0.5747764873899268
496,0.076576697376426,0.6650145592805284
581,0.3464020962803416,0.4012836754955309
687,0.7929966370659958,0.0146722431538573
720,0.4606130268128777,0.2565456912861155
846,0.7321272609113831,0.0565085771410097
1295,0.351703642636539,0.3266785226690462
1618,0.6142310951000871,0.0890969441644072
1818,0.1654996925790198,0.5567131332115742
1930,0.7058405772020429,0.0591990012374602
2321,0.2072180916191559,0.4843193452342307
2693,0.4719026621856357,0.2489783194128342
2765,0.4211758295662423,0.3059669405958207
3965,0.1044775500722451,0.6537379188928488
4210,0.2563161688273924,0.4701356538756763
4418,0.2566931839303315,0.4460537427249344
4795,0.1992585529062825,0.5248103365741531
5598,0.789620201077653,0.0498387380024268
6242,0.0214719881214879,0.8954891360670296
6348,0.2875231695395289,0.4074626401555398
6367,0.5380694063051058,0.2160835048713887
6402,0.8599430436675211,0.0059316257173476
7580,0.0357566737654359,0.8279617063641179
7666,0.5657300976682911,0.1738176996522877
7964,0.0,0.924781711538828
8274,0.4589669638736659,0.3027579441495721
8330,0.0455685975381845,0.8074715220160722
8746,0.0654297523358771,0.783922604559607
9079,0.5362979423815223,0.219571482234031
9569,0.5300197448014838,0.219970102590908
9714,0.0325743114115552,0.8590741425338221
