id,x1,x2,x3,pIndex,Volume,Relative Volume,Grid,Grid Denominator,Max Rank
119,0.4690828561000751,0.2290365668053575,0.2139205829204157,4,0.00018,0.000246737580875096,0.004032258064516129,248,3
214,0.4065216634245034,0.0550300922779298,0.5212204185384433,1,0.00202,0.002768943963153855,0.041666666666666664,24,1
313,0.1849259752635778,0.3333495425632904,0.4573116860614093,12,2e-05,2.7415286763899554e-05,0.007936507936507936,126,15
428,0.2533085500697305,0.350788188726306,0.2750208747076741,5,8e-05,0.00010966114705559821,0.019230769230769232,52,10
609,0.2365432037583183,0.2536443493291938,0.3545415322640378,3,0.00014,0.00019190700734729685,0.0196078431372549,51,4
652,0.2546923640125664,0.183075693251462,0.3554284355835753,1,0.00142,0.0019464853602368683,0.08333333333333333,12,1
829,0.5303025469153633,0.1504975401749171,0.3394864266212838,11,2e-05,2.7415286763899554e-05,0.007518796992481203,133,10
844,0.542494095644162,0.2999272534469718,0.2030951930745757,6,0.00014,0.00019190700734729685,0.010638297872340425,94,11
874,0.0842526296602708,0.4746689193518018,0.4868295497684407,5,0.00012,0.00016449172058339732,0.05263157894736842,19,6
950,0.2334612076192301,0.3815179463087395,0.286121714628909,7,2e-05,2.7415286763899554e-05,0.023255813953488372,43,14
1200,0.7763332716397058,0.4063868655858801,0.1025589351654981,2,0.00036,0.000493475161750192,0.03333333333333333,30,2
1568,0.2734744603656195,0.7653437302461128,0.2018857332798105,10,4e-05,5.483057352779911e-05,0.011363636363636364,88,7
1884,0.3096637332327326,0.1995803976885534,0.2173600582310446,1,0.00278,0.0038107248601820377,0.2,5,1
2025,0.5889865812754318,0.0321919642100321,0.3126667214873858,2,0.0013,0.0017819936396534708,0.1,10,2
2299,0.562870620276308,0.1562083655066996,0.3305278330326721,>15,0.0,0.0,0.004,250,9
2338,0.298569873557075,0.4054942374786701,0.1910742926628357,3,8e-05,0.00010966114705559821,0.011235955056179775,89,6
2445,0.2128016518303792,0.2421902103234832,0.4986529202714809,4,0.00056,0.0007676280293891874,0.02631578947368421,38,5
2511,0.2027347175752043,0.337114533265169,0.3747414122712276,8,4e-05,5.483057352779911e-05,0.013333333333333334,75,11
2545,0.4105348502750474,0.1851590437185678,0.2959881114281461,7,2e-05,2.7415286763899554e-05,0.015384615384615385,65,7
2704,0.2685949392475489,0.3302810073183261,0.247147251738199,4,6e-05,8.224586029169866e-05,0.029411764705882353,34,4
2740,0.288426947263399,0.5658605973569967,0.1256475703292969,2,0.0009,0.00123368790437548,0.02857142857142857,35,2
3046,0.5688095227277572,0.1438286531598905,0.28000686636506,11,2e-05,2.7415286763899554e-05,0.02,50,4
3214,0.0,0.4630015313631773,0.6637698184613849,1,0.00216,0.0029608509705011518,0.07692307692307693,13,1
3494,0.4222151436432388,0.3989683126873163,0.1577004067993713,>15,0.0,0.0,0.0049261083743842365,203,5
3899,0.0532268667036745,0.5061036226022816,0.2505019408207637,1,0.0065,0.008909968198267355,0.14285714285714285,7,1
4000,0.3092362733037401,0.0811210804400441,0.445821597288998,1,0.00368,0.005044412764557518,0.07142857142857142,14,1
4538,0.6065155802459391,0.3695102673338191,0.1577666675376777,11,4e-05,5.483057352779911e-05,0.0049261083743842365,203,9
4567,0.4462802098387798,0.3079512114693384,0.2113134196099863,12,4e-05,5.483057352779911e-05,0.006211180124223602,161,11
4605,0.1169160327622474,0.3016146105008601,0.5293368665022092,1,0.00032,0.00043864458822239286,0.05,20,1
4851,0.251002443056232,0.20273598358278,0.6239817908973412,13,2e-05,2.7415286763899554e-05,0.0047169811320754715,212,6
4917,0.1164863866984621,0.4577674618348608,0.5375793377056419,>15,2e-05,2.7415286763899554e-05,0.004,250,12
5027,0.2913461398439665,0.2849124433042697,0.3272647831182937,12,2e-05,2.7415286763899554e-05,0.022222222222222223,45,15
5169,0.2089340186791375,0.5195215701793663,0.2198301523488411,3,0.00102,0.0013981796249588772,0.041666666666666664,24,3
5268,0.2806124152073095,0.3595626209766726,0.2192363532086954,4,4e-05,5.483057352779911e-05,0.013333333333333334,75,4
5391,0.549957070313044,0.1874317774198337,0.2330909498830567,6,0.00026,0.00035639872793069414,0.013333333333333334,75,5
5591,0.5667816411137717,0.1312261755191735,0.3634727230846356,12,0.0,0.0,0.014492753623188406,69,9
5639,0.1380825812202932,0.3411900447833818,0.3864822739573763,2,0.00068,0.0009321197499725848,0.1111111111111111,9,3
5728,0.2300875840326251,0.3230621245662277,0.4687922452085196,>15,0.0,0.0,0.005747126436781609,174,38
5865,0.2353578396758227,0.2639623794428907,0.4188391587200233,>15,0.0,0.0,0.004016064257028112,249,10
5953,0.3128264693224442,0.5250878703113402,0.1275505372611907,2,0.00028,0.0003838140146945937,0.047619047619047616,21,2
5958,0.3562303311999087,0.3530024548113739,0.2155463030141201,>15,0.0,0.0,0.004032258064516129,248,14
6117,0.207148130210524,0.3034747308462617,0.4992343697498866,>15,4e-05,5.483057352779911e-05,0.005917159763313609,169,19
6614,0.6383331776847339,0.4520392747014815,0.1108075401784511,6,0.0001,0.00013707643381949777,0.021739130434782608,46,4
6627,0.4757170891908966,0.5039532939164588,0.0,1,0.0306,0.04194538874876631,0.14285714285714285,7,1
6647,0.6430551706770952,0.0,0.3098605758671638,1,0.00786,0.010774207698212525,0.03225806451612903,31,1
6931,0.1115159293469954,0.2813137061512702,0.6016554550115055,1,0.00092,0.0012611031911393795,0.027777777777777776,36,1
6969,0.2094782426905091,0.3342314008542025,0.4212194749030644,>15,0.0,0.0,0.004016064257028112,249,21
7140,0.0870061180133803,0.3588198552289889,0.7448109090233224,2,0.00062,0.0008498738896808862,0.02857142857142857,35,4
7445,0.1257856877984412,0.4190121623574458,0.258041804728561,2,0.00102,0.0013981796249588772,0.125,8,2
