id,x1,x2
884,0.423530982154921,0.0946858870685473
1437,0.1559438835209472,0.4132688620983721
1550,0.3956571083910264,0.1200094584580058
1643,0.2362571095110716,0.2390229148956232
1728,0.2025807812753796,0.3585883862221632
2322,0.2260155156187402,0.2789745489173627
2479,0.0821268774991633,0.453686909067839
2681,0.3132153918231563,0.1831532939771529
3669,0.4523760163035993,0.0264019811056862
3761,0.3747820403897204,0.1678344841124445
4092,0.3867629564952084,0.1574426147292797
4226,0.0,0.7603419708425381
